Signal Name,Runtime (s),Best Match 1,Match 1 Fit (%),Best Match 2,Match 2 Fit (%)
exp_signal0,0.11664550006389618,2,71.55,1,5.58
exp_signal1,0.05717239994555712,0,79.65,2,6.70
exp_signal2,0.057816100073978305,3,78.75,1,16.93
exp_signal3,0.05737500009126961,0,95.86,2,81.68
exp_signal4,0.0561943999491632,1,95.69,3,17.69
exp_signal5,0.056110600009560585,2,96.02,0,60.87
exp_signal6,0.05446230014786124,3,22.11,1,20.88
exp_signal7,0.05437619984149933,2,95.40,0,77.26
exp_signal8,0.05555190006271005,0,76.14,3,30.65
exp_signal9,0.05428420007228851,3,76.60,1,32.17
exp_signal10,0.05667720013298094,1,98.44,3,18.46
exp_signal11,0.055132800014689565,2,97.28,0,-8.97
exp_signal12,0.053524799877777696,0,95.97,2,75.21
exp_signal13,0.05708320019766688,3,40.86,1,-10.99
exp_signal14,0.05682820011861622,0,72.06,3,10.00
exp_signal15,0.05537330009974539,3,76.84,1,-1.67
exp_signal16,0.05476179998368025,2,97.04,0,65.19
exp_signal17,0.05416340008378029,1,98.64,2,-13.63
exp_signal18,0.0540565000846982,3,60.46,1,27.27
exp_signal19,0.05496770003810525,1,99.03,3,3.45
exp_signal20,0.055199900176376104,0,82.96,2,67.83
exp_signal21,0.05471890000626445,0,86.96,2,42.00
exp_signal22,0.056091299979016185,3,54.75,1,40.47
exp_signal23,0.0538113999646157,0,82.49,1,47.05
exp_signal24,0.05458940006792545,2,88.13,1,-4.91
exp_signal25,0.05476600001566112,1,98.61,3,-47.57
exp_signal26,0.054203700041398406,2,92.74,0,15.47
exp_signal27,0.05476480000652373,1,94.17,3,9.42
exp_signal28,0.05305800004862249,1,89.19,2,58.50
exp_signal29,0.054491500137373805,3,74.98,1,8.23
exp_signal30,0.05656500020995736,0,85.18,2,54.36
exp_signal31,0.05390270007774234,1,98.83,2,-0.80
exp_signal32,0.05462409998290241,2,95.74,0,60.62
exp_signal33,0.0805647000670433,2,95.60,0,3.53
exp_signal34,0.05464950017631054,1,66.60,3,28.39
exp_signal35,0.057524400064721704,1,97.00,3,17.63
exp_signal36,0.05254240008071065,1,54.53,3,41.76
exp_signal37,0.05405790009535849,3,90.13,1,17.85
exp_signal38,0.05254830000922084,2,90.31,0,83.43
exp_signal39,0.05495270015671849,2,92.09,1,-6.27
